#,,,,,,,,,
#   VizieR Astronomical Server vizier.cfa.harvard.edu,,,,,,,,,
#    Date: 2017-12-22T15:14:11 [V1.99+ (14-Oct-2013)],,,,,,,,,
"#   In case of problem, please report to:",cds-question@unistra.fr,,,,,,,,
#,,,,,,,,,
#,,,,,,,,,
#Coosys,J2000:,eq_FK5 J2000,,,,,,,
#INFO,votable-version=1.99+ (14-Oct-2013),,,,,,,,
#INFO,-ref=VIZ5a3d209117509,,,,,,,,
#INFO,-out.max=200,,,,,,,,
#INFO,queryParameters=17,,,,,,,,
#-oc.form=dec,,,,,,,,,
#-out.max=200,,,,,,,,,
#-out.all=2,,,,,,,,,
#-nav=cat:J/AJ/134/2398&tab:{J/AJ/134/2398/table3}&key:source=J/AJ/134/2398/table3&HTTPPRM:&,,,,,,,,,
#-source=J/AJ/134/2398/table3,,,,,,,,,
#-order=I,,,,,,,,,
#-out=SpType,,,,,,,,,
#-out=LClass,,,,,,,,,
#-out=u-g,,,,,,,,,
#-out=g-r,,,,,,,,,
#-out=r-i,,,,,,,,,
#-out=i-z,,,,,,,,,
#-out=z-J,,,,,,,,,
#-out=J-H,,,,,,,,,
#-out=H-Ks,,,,,,,,,
#-out=JMAG,,,,,,,,,
#-out.all=2,,,,,,,,,
#,,,,,,,,,
,,,,,,,,,
#RESOURCE=yCat_51342398,,,,,,,,,
#Name: J/AJ/134/2398,,,,,,,,,
"#Title: Stellar SEDs in SDSS and 2MASS filters (Covey+, 2007)",,,,,,,,,
#Table,J_AJ_134_2398_table3:,,,,,,,,
#Name: J/AJ/134/2398/table3,,,,,,,,,
"#Title: Synthetic SDSS/2MASS photometry of Pickles (1998, Cat. J/PASP/110/863) solar metallicity standards",,,,,,,,,
#Column,SpType,(A4),MK spectral type,[ucd=src.spType],,,,,
#Column,LClass,(A3),Luminosity class,[ucd=src.class.luminosity],,,,,
#Column,u-g,(F5.2),The (u-g) color index,[ucd=phot.color;em.opt.U;em.opt.B],,,,,
#Column,g-r,(F5.2),The (g-r) color index,[ucd=phot.color;em.opt.B;em.opt.R],,,,,
#Column,r-i,(F5.2),The (r-i) color index,[ucd=phot.color;em.opt.R;em.opt.I],,,,,
#Column,i-z,(F5.2),The (i-z) color index,[ucd=phot.color;em.opt.I;em.opt.I],,,,,
#Column,z-J,(F5.2),The (z-J) color index,[ucd=phot.color;em.IR;em.IR],,,,,
#Column,J-H,(F5.2),The (J-H) color index,[ucd=phot.color;em.IR.J;em.IR.H],,,,,
#Column,H-Ks,(F5.2),The (H-Ks) color index,[ucd=phot.color;em.IR.H;em.IR.K],,,,,
#Column,JMAG,(F6.2),Absolute J band magnitude,[ucd=phys.magAbs;em.IR.J],,,,,
SpType,LClass,u-g,g-r,r-i,i-z,z-J,J-H,H-Ks,JMAG
 , ,mag,mag,mag,mag,mag,mag,mag,mag
----,---,-----,-----,-----,-----,-----,-----,-----,------
spec_class,lum_class,u_g,g_r,r_i,i_z,z_J,J_H,H_K,Jmag_abs
O9  ,V  ,-0.32,-0.62,-0.35,-0.36,0.24,-0.16,-0.11,-3.81
B0  ,V  ,-0.25,-0.59,-0.35,-0.32,0.19,-0.11,-0.04,-2.8
B1  ,V  ,-0.13,-0.49,-0.33,-0.26,0.13,-0.06,-0.03,-2.03
B3  ,V  ,0.18,-0.46,-0.26,-0.26,0.2,-0.22,-0.08,-1.55
B5,V  ,0.51,-0.39,-0.23,-0.23,0.27,-0.01,-0.02,-1.37
B6,V  ,0.51,-0.39,-0.23,-0.23,0.27,-0.01,-0.02,-1.37
