dummy	dummy	dummy	dummy	
dummy	dummy	dummy	dummy	
dummy	PS	19.244602424419543	14.108375466876808	
dummy	PS	18.16053138274954	18.817835766593397	
dummy	PS	25.2757825270966	12.988399571179606	
dummy	PS	29.328106391663425	24.999577796585513	
dummy	PS+K2	24.167405320881773	23.021984737774392	
dummy	PS+K2	17.716365856152144	21.787956578466147	
dummy	PS+K2	28.510777242399836	18.08857203632212	
dummy	PS	22.76436518131581	15.965679437357736	
dummy	PS	20.429641253201904	18.397070168756688	
dummy	PS	16.65329610244364	21.296916935466964	
dummy	PS	17.294113040426698	27.365768017737615	
dummy	PS	16.084909561230386	18.08689912662975	
dummy	PS	23.14081929653531	20.38547378461048	
dummy	PS	19.90499742382404	15.742019349243488	
dummy	PS	16.387261111714896	20.577503309502408	
dummy	PS	11.952960147456407	13.083215237360497	
dummy	PS	22.88175674298553	14.224618618465339	
dummy	PS	23.393863256876237	12.367239972813604	
dummy	PS+K2	25.478000380927952	12.64775285365519	
dummy	PS	17.855764819448332	17.196823071157027	
dummy	PS	21.438196614605243	13.920789517482875	
dummy	PS	15.906371368365665	26.23931929295365	
dummy	PS	22.496821259296688	11.483695579792542	
dummy	PS	29.790203500054147	21.03152444654512	
dummy	PS	21.701843454622257	24.199320664769516	
dummy	PS	19.15469716712478	15.251803911910983	
dummy	PS	19.572198005664642	21.358982981216577	
dummy	PS	17.13527781552993	18.85933374647834	
dummy	PS	14.942562718170652	19.486652444758732	
dummy	PS	23.29824602981566	18.435859084786898	
dummy	PS	20.353744687160063	16.66873049211931	
dummy	PS	16.839497651742438	18.2563603245881	
dummy	PS	6.207377038378443	26.759277017952332	
dummy	PS	29.49143726440634	24.00171735336608	
dummy	PS+K2	13.269675980421509	21.147310781573715	
dummy	PS	14.026590618000494	14.955519099788212	
dummy	PS	16.217101373295996	15.688530495937954	
dummy	PS	28.66585233984294	24.6573157169298	
dummy	PS	25.8386761766523	20.41620371762174	
dummy	PS	23.638565838108804	6.699211496785139	
